,semestre,grupo,categoria,quantidade_videos
0,2022-11-30 – 2023-05-31,IA,Cursos e Tutoriais,241
1,2022-11-30 – 2023-05-31,IA,Dicas,221
2,2022-11-30 – 2023-05-31,IA,Projetos,258
3,2022-11-30 – 2023-05-31,Tradicional,Cursos e Tutoriais,409
4,2022-11-30 – 2023-05-31,Tradicional,Dicas,460
5,2022-11-30 – 2023-05-31,Tradicional,Projetos,357
6,2023-05-31 – 2023-11-29,IA,Cursos e Tutoriais,268
7,2023-05-31 – 2023-11-29,IA,Dicas,212
8,2023-05-31 – 2023-11-29,IA,Projetos,231
9,2023-05-31 – 2023-11-29,Tradicional,Cursos e Tutoriais,308
10,2023-05-31 – 2023-11-29,Tradicional,Dicas,273
11,2023-05-31 – 2023-11-29,Tradicional,Projetos,333
12,2023-11-29 – 2024-05-29,IA,Cursos e Tutoriais,217
13,2023-11-29 – 2024-05-29,IA,Dicas,177
14,2023-11-29 – 2024-05-29,IA,Projetos,228
15,2023-11-29 – 2024-05-29,Tradicional,Cursos e Tutoriais,305
16,2023-11-29 – 2024-05-29,Tradicional,Dicas,242
17,2023-11-29 – 2024-05-29,Tradicional,Projetos,290
18,2024-05-29 – 2024-11-27,IA,Cursos e Tutoriais,362
19,2024-05-29 – 2024-11-27,IA,Dicas,464
20,2024-05-29 – 2024-11-27,IA,Projetos,462
21,2024-05-29 – 2024-11-27,Tradicional,Cursos e Tutoriais,366
22,2024-05-29 – 2024-11-27,Tradicional,Dicas,351
23,2024-05-29 – 2024-11-27,Tradicional,Projetos,399
24,2024-11-27 – 2025-05-28,IA,Cursos e Tutoriais,849
25,2024-11-27 – 2025-05-28,IA,Dicas,859
26,2024-11-27 – 2025-05-28,IA,Projetos,770
27,2024-11-27 – 2025-05-28,Tradicional,Dicas,571
28,2024-11-27 – 2025-05-28,Tradicional,Projetos,568
29,2024-11-27 – 2025-05-28,Tradicional,Cursos e Tutoriais,587
