tipo,tempo_ms,tamanho_bytes
REST,267.03906059265137,5020
REST,251.32012367248535,5020
REST,202.95405387878418,5020
REST,237.68162727355957,5020
REST,264.79625701904297,5020
REST,237.31493949890137,5020
REST,220.991849899292,5020
REST,253.07393074035645,5020
REST,238.43026161193848,5020
REST,218.5502052307129,5020
REST,251.12462043762207,5020
REST,254.98080253601074,5020
REST,224.5039939880371,5020
REST,225.01587867736816,5020
REST,209.28955078125,5020
REST,241.12677574157715,5020
REST,219.73228454589844,5020
REST,240.21530151367188,5020
REST,247.50304222106934,5020
REST,204.1177749633789,5020
REST,236.0219955444336,5020
REST,213.059663772583,5020
REST,205.07454872131348,5020
REST,225.62479972839355,5020
REST,237.21694946289062,5020
REST,232.52391815185547,5020
REST,214.10536766052246,5020
REST,246.6745376586914,5020
REST,205.4121494293213,5020
REST,313.8904571533203,5020
GraphQL,188.01164627075195,193
GraphQL,188.8117790222168,193
GraphQL,224.7612476348877,193
GraphQL,189.3599033355713,193
GraphQL,210.94775199890137,193
GraphQL,188.24434280395508,193
GraphQL,195.86873054504395,193
GraphQL,196.86365127563477,193
GraphQL,214.6749496459961,193
GraphQL,215.90161323547363,193
GraphQL,241.62554740905762,193
GraphQL,230.879545211792,193
GraphQL,208.9254856109619,193
GraphQL,216.20440483093262,193
GraphQL,237.8978729248047,193
GraphQL,236.88435554504395,193
GraphQL,217.70334243774414,193
GraphQL,197.76487350463867,193
GraphQL,214.56193923950195,193
GraphQL,205.18803596496582,193
GraphQL,195.0552463531494,193
GraphQL,201.80606842041016,193
GraphQL,232.09524154663086,193
GraphQL,186.53273582458496,193
GraphQL,192.39044189453125,193
GraphQL,222.0151424407959,193
GraphQL,199.16057586669922,193
GraphQL,272.6013660430908,193
GraphQL,254.43363189697266,193
GraphQL,189.03255462646484,193
